"Subject"	"Activity"	"tBodyAcc-mean()-X"	"tBodyAcc-mean()-Y"	"tBodyAcc-mean()-Z"	"tGravityAcc-mean()-X"	"tGravityAcc-mean()-Y"	"tGravityAcc-mean()-Z"	"tBodyAccJerk-mean()-X"	"tBodyAccJerk-mean()-Y"	"tBodyAccJerk-mean()-Z"	"tBodyGyro-mean()-X"	"tBodyGyro-mean()-Y"	"tBodyGyro-mean()-Z"	"tBodyGyroJerk-mean()-X"	"tBodyGyroJerk-mean()-Y"	"tBodyGyroJerk-mean()-Z"	"tBodyAccMag-mean()"	"tGravityAccMag-mean()"	"tBodyAccJerkMag-mean()"	"tBodyGyroMag-mean()"	"tBodyGyroJerkMag-mean()"	"fBodyAcc-mean()-X"	"fBodyAcc-mean()-Y"	"fBodyAcc-mean()-Z"	"fBodyAcc-meanFreq()-X"	"fBodyAcc-meanFreq()-Y"	"fBodyAcc-meanFreq()-Z"	"fBodyAccJerk-mean()-X"	"fBodyAccJerk-mean()-Y"	"fBodyAccJerk-mean()-Z"	"fBodyAccJerk-meanFreq()-X"	"fBodyAccJerk-meanFreq()-Y"	"fBodyAccJerk-meanFreq()-Z"	"fBodyGyro-mean()-X"	"fBodyGyro-mean()-Y"	"fBodyGyro-mean()-Z"	"fBodyGyro-meanFreq()-X"	"fBodyGyro-meanFreq()-Y"	"fBodyGyro-meanFreq()-Z"	"fBodyAccMag-mean()"	"fBodyAccMag-meanFreq()"	"fBodyBodyAccJerkMag-mean()"	"fBodyBodyAccJerkMag-meanFreq()"	"fBodyBodyGyroMag-mean()"	"fBodyBodyGyroMag-meanFreq()"	"fBodyBodyGyroJerkMag-mean()"	"fBodyBodyGyroJerkMag-meanFreq()"	"tBodyAcc-std()-X"	"tBodyAcc-std()-Y"	"tBodyAcc-std()-Z"	"tGravityAcc-std()-X"	"tGravityAcc-std()-Y"	"tGravityAcc-std()-Z"	"tBodyAccJerk-std()-X"	"tBodyAccJerk-std()-Y"	"tBodyAccJerk-std()-Z"	"tBodyGyro-std()-X"	"tBodyGyro-std()-Y"	"tBodyGyro-std()-Z"	"tBodyGyroJerk-std()-X"	"tBodyGyroJerk-std()-Y"	"tBodyGyroJerk-std()-Z"	"tBodyAccMag-std()"	"tGravityAccMag-std()"	"tBodyAccJerkMag-std()"	"tBodyGyroMag-std()"	"tBodyGyroJerkMag-std()"	"fBodyAcc-std()-X"	"fBodyAcc-std()-Y"	"fBodyAcc-std()-Z"	"fBodyAccJerk-std()-X"	"fBodyAccJerk-std()-Y"	"fBodyAccJerk-std()-Z"	"fBodyGyro-std()-X"	"fBodyGyro-std()-Y"	"fBodyGyro-std()-Z"	"fBodyAccMag-std()"	"fBodyBodyAccJerkMag-std()"	"fBodyBodyGyroMag-std()"	"fBodyBodyGyroJerkMag-std()"
1	"WALKING_DOWNSTAIRS"	0.299113041785714	-0.0212017642017857	-0.09769238645	0.925544233928571	-0.216809157321429	-0.065375929175	0.0686030913214286	-0.0339643410714286	0.0190159651003571	-0.154369668103571	0.015062206675	0.0566368195410714	-0.116331060582143	-0.0633142451071429	-0.0789271290785714	0.11369071125	0.11369071125	-0.0909923739285714	-0.0873549710357143	-0.4315834575	0.0524946411785714	0.150473618785714	-0.255704275214286	-0.389755580714286	-0.0261014937821429	0.0634166809964286	-0.0399772063892857	-0.0483748685	-0.404867683642857	-0.336998110928571	-0.446348874285714	-0.27030252525	-0.123404263071429	-0.385526416464286	-0.127750330214286	-0.233013623964286	-0.0636572159607143	0.0153613339464286	0.181660005142857	0.0314736280928571	0.0252492780785714	0.0154086969214286	-0.260918920664286	0.000986890892857147	-0.467196061428571	0.0471742167964286	0.0899250528142857	0.179340680892857	-0.229358840464286	-0.935907841071429	-0.912704063214286	-0.878754255	-0.000657245807142854	-0.00208500820714286	-0.45861411475	-0.208787060264286	-0.39848285125	-0.256281590714286	-0.310720406196429	-0.544626108214286	-0.261412168678571	0.130095957321429	0.130095957321429	0.0112533775357143	-0.194980127464286	-0.468224094285714	0.102524707464286	0.118120496967857	-0.278582164964286	-0.0509356816214286	-0.0205098255357143	-0.512110920714286	-0.244447133535714	-0.412434423964286	-0.374959574482143	-0.0808726749857143	-0.0181208966392857	-0.294906488235714	-0.51019584025
1	"WALKING_UPSTAIRS"	0.261350614742947	-0.0264565305906583	-0.125493264355486	0.865218141253918	-0.329427065611285	-0.12374616659616	0.0602349197300627	0.0135020020406583	0.00012307185	0.0157258559836991	-0.101755715190721	0.0656732487243887	-0.104828554662038	-0.024960366930721	-0.0473271664789969	-0.0841212230124451	-0.0841212230124451	-0.367208708858934	-0.134757191825078	-0.563644857250784	-0.279504453534828	-0.0923257182355799	-0.349888724841066	-0.433231921196865	-0.148835384890282	-0.238077689168342	-0.358288568994671	-0.326930675568934	-0.581226180495298	-0.318368178787523	-0.447531487429467	-0.419059829479624	-0.372370819950784	-0.377188665425862	-0.219072010713166	-0.174858322876019	-0.319465108404545	-0.259896717047335	-0.239847655716614	-0.0245828383382759	-0.322336082210658	0.0720971458752351	-0.409179969680251	-0.132367239688307	-0.620322769655172	0.0893153889433542	-0.237008464769592	0.0308872103056426	-0.163980844788777	-0.943595052382445	-0.923803563636364	-0.892603551661442	-0.332892177203762	-0.300525611845768	-0.619059656959248	-0.466397004132288	-0.26506707728931	-0.157386930239185	-0.521085311681505	-0.621580772821317	-0.507613168725078	-0.242593477982056	-0.242593477982056	-0.357990425814107	-0.295963822964828	-0.627724944796238	-0.222745656363009	0.0233695601644201	-0.139785028347774	-0.367781887796677	-0.320670023109091	-0.656207980909091	-0.500107757362696	-0.213763255697492	-0.218597477197179	-0.365031074253919	-0.414329872482759	-0.348913926623197	-0.665783695642633
2	"WALKING"	0.277035775165563	-0.0164630362399007	-0.10809546757947	0.932101546556291	-0.215775458427152	-0.0398701204774801	0.0791046512565232	0.0100154361586093	0.00320901326433775	-0.0216181860467881	-0.0739158884099007	0.0811632277733262	-0.101895501877715	-0.0337658193595695	-0.0447067044856291	-0.15058386070098	-0.15058386070098	-0.224212419874834	-0.276761642343709	-0.449242131125828	-0.286284207086093	-0.0142260338280132	-0.329839227631788	-0.266700867043709	0.0501489061303311	0.120646471530828	-0.292723115210795	-0.151671067202219	-0.423793566863907	-0.23553257227649	-0.363122329270199	-0.192918573580828	-0.333802499786755	-0.37446639191745	-0.297839821328808	-0.0534006909887417	-0.0537053484466556	-0.0643571070190729	-0.271682492856954	0.191191464062394	-0.19607206867702	0.0716220142201987	-0.395435337079768	0.177408260123742	-0.494622520909238	0.130360797417119	-0.305292851393377	0.00724731900692053	-0.262072745496887	-0.977051351523179	-0.965430702284768	-0.955052733112583	-0.252458599170497	-0.0844562569067881	-0.456468959566225	-0.467659738271523	-0.348539479364901	-0.332726595960596	-0.362791586805298	-0.493006348769205	-0.43170417957053	-0.331548381695364	-0.331548381695364	-0.193613803286093	-0.371041915616556	-0.477043007093377	-0.31456426722947	-0.0467829801959272	-0.285607288204868	-0.278292635774503	-0.0729840180992053	-0.487986608612583	-0.511795381675497	-0.341866318751987	-0.408107370403973	-0.473371133311258	-0.197597239668079	-0.465983735291391	-0.493026521947682
3	"WALKING_DOWNSTAIRS"	0.29560749744868	-0.0175375719563343	-0.105504222760997	0.921537647360704	-0.194201900007331	-0.0677638940237243	0.0801822045215982	0.0156538985025513	0.00194720490513196	-0.112385526598534	-0.0323962328902933	0.10162153398827	-0.0860705348806452	-0.0457736877041056	-0.0505784920560117	0.0827684623668622	0.0827684623668622	-0.134548210893343	-0.105400981390587	-0.406613792067449	-0.00791606789120235	0.0671592664239296	-0.187646355789091	-0.414373360621114	-0.0237804888217009	0.0699695978717302	-0.121282550641434	-0.126789945990029	-0.324842469209677	-0.344053119064516	-0.398953323640499	-0.298049917767449	-0.238526985776833	-0.290496607384751	-0.126101297957185	-0.179397340617595	-0.0565276504365689	-0.0479271411963636	0.127587165651261	0.0134724738998827	-0.0215613633907625	-0.00117853771949267	-0.27386444428651	0.054311664532434	-0.418972014482287	0.103800571351085	0.0570255650879765	0.0901681361753959	-0.156399239127419	-0.94934667568915	-0.933982499765396	-0.90570301797654	-0.0762389637570968	-0.0857484775697947	-0.377334719834633	-0.344999575894428	-0.310700761407918	-0.223829845604106	-0.411616976606158	-0.439500667187683	-0.313408455999032	0.103482671334633	0.103482671334633	-0.0243007609008211	-0.231532716531026	-0.423816421729032	0.0785817465135777	0.0314789797765396	-0.209323927290264	-0.113473968093842	-0.104528824077067	-0.429045702059355	-0.383077052564223	-0.331668712479413	-0.331834561694135	-0.0849880576703812	-0.0382031134293255	-0.341981293610323	-0.473190017521202
4	"WALKING"	0.275348159148265	-0.0183423694895899	-0.109462967561514	0.934968165488959	-0.206341327621451	-0.0552736020904006	0.0845946670836909	0.0112986161823344	-0.000645337268138801	-0.0374691006874132	-0.075383311600694	0.0862973930772871	-0.0907207554533943	-0.0459592606397476	-0.0659512640608517	-0.159628354391798	-0.159628354391798	-0.22612441960694	-0.289007951169085	-0.445166677895899	-0.283815931559464	-0.0265685955886435	-0.320181597873281	-0.274673787894637	0.0628217248134069	0.112667234973839	-0.293307839430284	-0.151907629753312	-0.421930323989842	-0.260133843233123	-0.340177884289274	-0.217065947652366	-0.337774946703155	-0.377593922200946	-0.316370521894637	-0.0326699124280757	-0.0536972541129022	-0.0356541464176656	-0.257687206452997	0.18731174688858	-0.177070507435331	0.0495454055612839	-0.394519450582965	0.178731385212618	-0.490038885605678	0.128332026426498	-0.309057851830915	-0.0114505456703785	-0.259770295846593	-0.978779237192429	-0.967183380094637	-0.958048713533123	-0.248576132123344	-0.0851621005453312	-0.4496159706	-0.477635422523659	-0.346466457870505	-0.353554068805678	-0.351859466479495	-0.489840899605047	-0.440666246800315	-0.319408152188265	-0.319408152188265	-0.173083138068139	-0.36777347977918	-0.470740145807256	-0.320619461891798	-0.0675388759473502	-0.287437177001924	-0.269923261975394	-0.0746082961410726	-0.47632684817918	-0.523899955217666	-0.33632523805959	-0.427784410728707	-0.463959433943218	-0.175289794194984	-0.461703689640379	-0.484588457064669
5	"WALKING_DOWNSTAIRS"	0.284696973519868	-0.013951689624043	-0.101906596421523	0.925554319238411	-0.172781625292384	-0.0335978594297682	0.0889358902986755	0.00079820238245033	-0.0264433390558609	-0.095420593638245	-0.0478739866158278	0.100138945055464	-0.0625009290360265	-0.0653079340200993	-0.0338849913935762	0.106969397922252	0.106969397922252	-0.104096571243709	-0.134858465431589	-0.39897487611755	0.0430120810407285	0.058683479247351	-0.214904353972517	-0.397188167645695	0.00861149235298013	0.0932169162928808	-0.067457705663245	-0.109983940040066	-0.326122098042384	-0.312181180072848	-0.360396633074172	-0.234557103549669	-0.196563865112252	-0.321434265145364	-0.17351994737649	-0.155110274017483	-0.0464203871696027	0.0191754197547185	0.136105699252649	0.039386670858096	0.00828482249453642	0.0384269163881457	-0.266590538240728	0.0849714378972192	-0.424186469619536	0.129258756037056	0.106178079844702	0.0637174296254967	-0.194927391033709	-0.950562467251656	-0.932991160662252	-0.916414776688742	-0.0319749673938411	-0.0680473528288113	-0.382978202428013	-0.325212727605298	-0.345440568633113	-0.286394514767219	-0.352430049211589	-0.461278012040728	-0.309253311132119	0.107270755804901	0.107270755804901	-0.0160195830342715	-0.234940911622185	-0.432374411005497	0.126083598562848	-0.00314094453586093	-0.251301921795695	-0.0832696202388113	-0.0880015434087318	-0.439308092904967	-0.370426447068874	-0.36926747957053	-0.394964555049669	-0.0846661152731788	-0.0578826006612583	-0.353993297268311	-0.485881921189404
6	"WALKING_DOWNSTAIRS"	0.285576016566154	-0.0157286345845953	-0.107013173113538	0.928806921692308	-0.160404404768	-0.0309581121224615	0.0891420227246154	0.000808050296769231	-0.00418676628969231	-0.0609248435329385	-0.0678253679181538	0.0857664143011385	-0.0634363608126462	-0.0470630683472308	-0.0623646338215692	0.103537792570892	0.103537792570892	-0.117058166926769	-0.153162396907846	-0.436797804193846	0.0596537490673846	0.0360050197113846	-0.240236572364615	-0.398300216039077	0.0138804705963385	0.106356492453932	-0.0609646315784308	-0.129581334380615	-0.351343821324	-0.313589689306462	-0.380415629473846	-0.208791755307231	-0.232531043641877	-0.343246899707385	-0.185890921183077	-0.158176343081538	-0.0306845590158154	-0.02362734805	0.147732198721538	0.011941534718	0.000972854444492307	0.000473322655261539	-0.308152142489015	0.0698781809386462	-0.458895347014769	0.0770512278465538	0.126277066483603	0.0281588774898154	-0.220577998749385	-0.951449680461538	-0.934300101692308	-0.916527727353846	-0.0243363614496308	-0.0865013011926769	-0.405767613286154	-0.349680432513846	-0.362622010900615	-0.289272041562954	-0.396700524491692	-0.484596440826646	-0.350772828563077	0.136405089078769	0.136405089078769	-0.0151687323873846	-0.271634858106154	-0.459248129803385	0.147681151491077	-0.0435922915916923	-0.275159279689538	-0.0755513482858462	-0.102735522894154	-0.459582833692308	-0.391231652988308	-0.383272374204615	-0.393975315104615	-0.0496449260041538	-0.0463431289643077	-0.377964996229231	-0.499678443641231
7	"WALKING_DOWNSTAIRS"	0.287502874863636	-0.0175674173482792	-0.106715345357468	0.929133115032468	-0.149298773585844	-0.0518733091482562	0.0927459351667857	0.00212969967314935	-0.0119825917422078	-0.0549723189140584	-0.0674247518884058	0.0900570341517857	-0.0738071479172403	-0.0456353310429221	-0.067603159726526	0.112112872022403	0.112112872022403	-0.096917205033961	-0.125152589785812	-0.423796383288961	0.0488032502347078	0.0550507729202597	-0.213399785541623	-0.393544039661688	0.00158851206159091	0.0969004965967208	-0.0501201405155844	-0.109048867931169	-0.328663554067857	-0.29927654976461	-0.393016275198701	-0.205976894340584	-0.205273918208117	-0.317693988331493	-0.182557490132792	-0.174919652649058	-0.0553719747712987	-0.0283315017383117	0.156303289669805	0.0295954983168507	0.0182803835372078	0.0300596079601623	-0.305820516352597	0.0597806534596007	-0.449523680362338	0.0848747098550649	0.117130712372727	0.0468844162444156	-0.192542958448052	-0.947562905357143	-0.936795066818182	-0.915480180194805	-0.0125614173266558	-0.0649944435522727	-0.385853348738571	-0.324112356460714	-0.336908728742857	-0.292319221594481	-0.366796720592532	-0.478367664066688	-0.341569278850325	0.11901875515	0.11901875515	-0.000581752957142857	-0.266772949686494	-0.45055496849026	0.139088077121429	-0.0260796226986364	-0.24838916175974	-0.0640154553933442	-0.0812197593567208	-0.442631639337662	-0.366527463912565	-0.35709398533474	-0.399319603044805	-0.0795467804525974	-0.0351103272470448	-0.37293003336526	-0.492605700868506
8	"SITTING"	0.271450005148045	-0.0104303952472626	-0.103629364811732	0.89925900424581	0.060176551775948	0.119622189378883	0.0781244445312849	0.00547471917625698	-0.00704307821005587	-0.0368594069112849	-0.0835697934413408	0.0822629158379888	-0.096725310452514	-0.0380195762655866	-0.0510580498191061	-0.95780223	-0.95780223	-0.981368637988827	-0.954201375642458	-0.986207037318436	-0.984702412681564	-0.94638901178771	-0.961339113407821	0.00419792126240223	0.073188311149162	0.076501098824581	-0.984794970055866	-0.971350673631285	-0.979275510111732	0.194570651855922	-0.049777660283743	0.0258435257256983	-0.976002679441341	-0.973607156201117	-0.963615440111732	0.0922309547081006	-0.226206481212905	-0.0304044327441341	-0.954923513631285	0.121807720506145	-0.97802007150838	0.273019915318436	-0.967271120391061	-0.0681675272564246	-0.983371717150838	0.193861740784302	-0.985591702402235	-0.934256344882682	-0.948049906815642	-0.98358559877095	-0.956123338340782	-0.958221646815642	-0.984560730223464	-0.97117237150838	-0.982213772905028	-0.981756622960894	-0.96962181575419	-0.96068071424581	-0.98141540726257	-0.985476050726257	-0.982995294804469	-0.943172582290503	-0.943172582290503	-0.978383513631285	-0.957034987206704	-0.982873847765363	-0.986163466536313	-0.932277115061452	-0.944652289553073	-0.985735423687151	-0.973163034189944	-0.983820247430168	-0.983695422849162	-0.967704717653631	-0.963440198659218	-0.945928865865922	-0.977745814636871	-0.958026343296089	-0.983173003910615
8	"WALKING_DOWNSTAIRS"	0.280412192019608	-0.0159276937036275	-0.113383509997824	0.930263545490196	-0.1405112275	-0.0620014998308824	0.115629078821569	-0.0440849958205882	-0.00423171975980392	-0.0976243645088235	-0.0648488323382353	0.108089775631373	-0.0745060415062745	-0.0551113065441176	-0.0600197889536275	0.102592030080686	0.102592030080686	-0.0924810429	-0.147440220411765	-0.415989177764706	0.0332951502431373	0.0607996120147059	-0.202461170565686	-0.388265557901961	0.0204599033668627	0.115229496534314	-0.0348021570784314	-0.0992657963558824	-0.318176147	-0.271342158294118	-0.399152664117647	-0.220101947677451	-0.229875473759804	-0.296108884892157	-0.16907961685098	-0.188414174051961	0.00117916688529412	0.00103760435578431	0.147002850468627	0.0473991008156863	0.0479697107416667	0.0703167721141176	-0.309091248313725	0.0893411868735294	-0.433222630607843	0.0754983381362745	0.103252509663725	0.0502136385470588	-0.182919573534314	-0.953665148921569	-0.937162902745098	-0.910519822843137	-0.0018474298745098	-0.0549616882163725	-0.37819055	-0.334994968327451	-0.337962184313725	-0.28950975779902	-0.398679644627451	-0.449614663352941	-0.315747981151961	0.112430755482353	0.112430755482353	0.0210013792147059	-0.271527799867647	-0.428542364892157	0.126127358489216	-0.0242123944294118	-0.242095342631373	-0.0590261692509804	-0.0718798272262745	-0.437530964490196	-0.372998942180392	-0.373057209058824	-0.400885241170588	-0.0842965297098039	-0.0249306880921569	-0.376575710147059	-0.465109359009804
